m_z_diff,charge,name
1.007276455,1,\[M+H\]^{+}
1.007276455,1,\[2M+H\]^{+}
1.007276455,1,\[3M+H\]^{+}
1.007276455,1,\[4M+H\]^{+}
2.014552,2,\[M+2H\]^{2+}
2.014552,2,\[2M+2H\]^{2+}
2.014552,2,\[3M+2H\]^{2+}
2.014552,2,\[4M+2H\]^{2+}
3.021828,3,\[M+3H\]^{3+}
3.021828,3,\[2M+3H\]^{3+}
3.021828,3,\[3M+3H\]^{3+}
3.021828,3,\[4M+3H\]^{3+}
22.989218,1,\[M+Na\]^{+}
44.97116,1,\[M+2Na-H\]^{+}
22.989218,1,\[2M+Na\]^{+}
44.97116,1,\[2M+2Na-H\]^{+}
22.989218,1,\[3M+Na\]^{+}
44.97116,1,\[3M+2Na-H\]^{+}
22.989218,1,\[4M+Na\]^{+}
44.97116,1,\[4M+2Na-H\]^{+}
38.963158,1,\[M+K\]^{+}
76.91904,1,\[M+2K-H\]^{+}
38.963158,1,\[2M+K\]^{+}
76.91904,1,\[2M+2K-H\]^{+}
38.963158,1,\[3M+K\]^{+}
76.91904,1,\[3M+2K-H\]^{+}
38.963158,1,\[4M+K\]^{+}
76.91904,1,\[4M+2K-H\]^{+}
23.996494,2,\[M+H+Na\]^{2+}
45.978436,2,\[M+2Na\]^{2+}
23.996494,2,\[2M+H+Na\]^{2+}
45.978436,2,\[2M+2Na\]^{2+}
23.996494,2,\[3M+H+Na\]^{2+}
45.978436,2,\[3M+2Na\]^{2+}
23.996494,2,\[4M+H+Na\]^{2+}
45.978436,2,\[4M+2Na\]^{2+}
39.970434,2,\[M+H+K\]^{2+}
77.926316,2,\[M+2K\]^{2+}
39.970434,2,\[2M+H+K\]^{2+}
77.926316,2,\[2M+2K\]^{2+}
39.970434,2,\[3M+H+K\]^{2+}
77.926316,2,\[3M+2K\]^{2+}
39.970434,2,\[4M+H+K\]^{2+}
77.926316,2,\[4M+2K\]^{2+}
60.9451,1,\[M+Na+K-H\]^{+}
61.952376,2,\[M+Na+K\]^{2+}
61.952376,2,\[2M+Na+K\]^{2+}
61.952376,2,\[3M+Na+K\]^{2+}
61.952376,2,\[4M+Na+K\]^{2+}
53.92038509,1,\[2M-2H+Fe^{3+}\]^{+}
53.92038509,1,\[3M-2H+Fe^{3+}\]^{+}
53.92038509,1,\[4M-2H+Fe^{3+}\]^{+}
24.96698572,1,\[2M-2H+Al^{3+}\]^{+}
24.96698572,1,\[3M-2H+Al^{3+}\]^{+}
24.96698572,1,\[4M-2H+Al^{3+}\]^{+}
58.965896875,1,\[M+H+NaCl\]^{+}
116.924517255,1,\[M+H+(NaCl)_2\]^{+}
74.939836575,1,\[M+H+KCl\]^{+}
41.038576,1,\[M+H+(CH_3)2CO-H_2O\]^{+} (acetone cond.)
68.99472,1,\[M+H+CHOONa\]^{+}
18.03385,1,\[M+NH4\]^{+}
-44.99820287,1,\[M+H-HCOOH\]^{+}
-16.01927265,1,\[M+H-NH_3\]^{+}
-17.00328824,1,\[M+H-H_2O\]^{+}
-41.003288,1,\[M+H-COCH2\]^{+}
-42.9825528,1,\[M+H-CO2\]^{+}
-60.00910191,1,\[M+H-NH_3-CO2\]^{+}
-62.02475198,1,\[M+H-NH_3-HCOOH\]^{+}
-34.02983735,1,\[M+H-NH_3-H_2O\]^{+}
-58.02983735,1,\[M+H-NH_3-COCH2\]^{+}
-30.96479424,1,\[M+H-S\]^{+}
-93.99682268,1,\[M+H-S-NH_3-HCOOH\]^{+}
-35.01385294,1,\[M+H-(H_2O)2\]^{+}
-13.00837361,1,\[M+H-CH2\]^{+}
-14.98763817,1,\[M+H-O\]^{+}
-25.00837361,1,\[M+H-C2H2\]^{+}
-27.02402368,1,\[M+H-C2H4\]^{+}
-26.98763817,1,\[M+H-CO\]^{+}
-41.03967375,1,\[M+H-C3H6\]^{+}
-43.01893831,1,\[M+H-C2H4O\]^{+} (McLafferty)
-53.03967375,1,\[M+H-C4H6\]^{+}
-55.01893831,1,\[M+H-C3H4O\]^{+}
-55.05532382,1,\[M+H-C_4H_8\]^{+}
-67.05532382,1,\[M+H-C5H8\]^{+}
-69.03458838,1,\[M+H-C4H6O\]^{+}
-69.07097389,1,\[M+H-C5H10\]^{+}
-83.08662396,1,\[M+H-C6H12\]^{+}
-87.04515308,1,\[M+H-C_4H_8O2\]^{+}
-63.00876757,1,\[M+H-H_2O-HCOOH\]^{+}
-15.02402368,1,\[M+H-CH4\]^{+}
-29.00328824,1,\[M+H-CH_2O\]^{+}
-29.03967375,1,\[M+H-C2H6\]^{+}
-31.01893831,1,\[M+H-CH3OH\]^{+}
-39.02402368,1,\[M+H-C3H4\]^{+}
-57.03458838,1,\[M+H-C3H6O\]^{+}
-85.029503015,1,\[M+H-CO2-C3H6\]^{+}
-78.949538135,1,\[M+H-SO3\]^{+}
-96.960102835,1,\[M+H-SO3-H_2O\]^{+}
-113.986651945,1,\[M+H-SO3-H_2O-NH_3\]^{+}
-56.050572795,1,\[M+H-NH_3-C3H4\]^{+}
-60.993117505,1,\[M+H-H_2O-CO2\]^{+}
-79.040067715,1,\[M+H-H_2O-H_2O-C2H4O (McLafferty)\]^{+}
-72.009101915,1,\[M+H-NH_3-CO-CO\]^{+}
