m_z,A
45.4690940038,8.9089089089
46.620413056,9.2092092092
49.6766289411,1.2012012012
50.5634373074,11.6116116116
51.9011236762,22.8228228228
52.9372444204,6.1061061061
53.5956241045,3.6036036036
61.4855154971,5.005005005
61.78966665,0.28754445
62.1973489208,10.2102102102
63.6165928997,26.9269269269
64.3117728295,6.1061061061
65.3105236511,49.5495495495
66.5995747018,5.3053053053
75.5545413433,1.1011011011
75.69824788,0.123
77.6681419551,2.002002002
89.4254498164,3.8038038038
90.926128083,2.3023023023
91.2771054446,100
92.9850245384,71.5715715716
93.8658290357,5.4054054054
